year,metric,team,value
2010,france,Ireland,146.0
2010,france,Scotland,121.0
2010,france,England,119.0
2010,france,Wales,113.0
2010,france,Italy,89.0
2011,all_time_6nations_wins,England,162.0
2011,all_time_6nations_wins,France,138.0
2011,all_time_6nations_wins,Ireland,138.0
2011,all_time_6nations_wins,Scotland,116.0
2011,all_time_6nations_wins,Wales,95.0
2011,all_time_6nations_wins,Italy,92.0
2011,all_time_6nations_wins,England,162.0
2011,all_time_6nations_wins,France,138.0
2011,all_time_6nations_wins,Ireland,138.0
2011,all_time_6nations_wins,Scotland,116.0
2011,all_time_6nations_wins,Wales,95.0
2011,all_time_6nations_wins,Italy,92.0
2011,points,England,162.0
2011,points,France,138.0
2011,points,Ireland,138.0
2011,points,Scotland,116.0
2011,points,Wales,95.0
2011,points,Italy,92.0
2011,points,England,162.0
2011,points,France,138.0
2011,points,Ireland,138.0
2011,points,Scotland,116.0
2011,points,Wales,95.0
2011,points,Italy,92.0
2011,england,England,162.0
2011,england,France,138.0
2011,england,Ireland,138.0
2011,england,Scotland,116.0
2011,england,Wales,95.0
2011,england,Italy,92.0
2012,all_time_6nations_wins,Ireland,162.0
2012,all_time_6nations_wins,France,131.0
2012,all_time_6nations_wins,England,128.0
2012,all_time_6nations_wins,Wales,109.0
2012,all_time_6nations_wins,Scotland,70.0
2012,all_time_6nations_wins,Italy,65.0
2012,all_time_6nations_wins,Ireland,162.0
2012,all_time_6nations_wins,France,131.0
2012,all_time_6nations_wins,England,128.0
2012,all_time_6nations_wins,Wales,109.0
2012,all_time_6nations_wins,Scotland,70.0
2012,all_time_6nations_wins,Italy,65.0
2012,points,Ireland,162.0
2012,points,France,131.0
2012,points,England,128.0
2012,points,Wales,109.0
2012,points,Scotland,70.0
2012,points,Italy,65.0
2012,points,Ireland,162.0
2012,points,France,131.0
2012,points,England,128.0
2012,points,Wales,109.0
2012,points,Scotland,70.0
2012,points,Italy,65.0
2012,ireland,Ireland,162.0
2012,ireland,France,131.0
2012,ireland,England,128.0
2012,ireland,Wales,109.0
2012,ireland,Scotland,70.0
2012,ireland,Italy,65.0
2013,all_time_6nations_wins,Wales,122.0
2013,all_time_6nations_wins,Scotland,110.0
2013,all_time_6nations_wins,England,106.0
2013,all_time_6nations_wins,Italy,98.0
2013,all_time_6nations_wins,France,91.0
2013,all_time_6nations_wins,Ireland,86.0
2013,all_time_6nations_wins,Wales,122.0
2013,all_time_6nations_wins,Scotland,110.0
2013,all_time_6nations_wins,England,106.0
2013,all_time_6nations_wins,Italy,98.0
2013,all_time_6nations_wins,France,91.0
2013,all_time_6nations_wins,Ireland,86.0
2013,points,Wales,122.0
2013,points,Scotland,110.0
2013,points,England,106.0
2013,points,Italy,98.0
2013,points,France,91.0
2013,points,Ireland,86.0
2013,points,Wales,122.0
