year,team,final_position,grand_slam,matches_played,matches_won,matches_drawn,matches_lost,points_scored,points_conceded,points_difference,tries_scored,tries_conceded,bonus_points,table_points
2011,Wales,4.0,N/A,5.0,3.0,0.0,2.0,95.0,89.0,6.0,6.0,8.0,0.0,6.0
2011,Scotland,5.0,N/A,5.0,1.0,0.0,4.0,82.0,109.0,-27.0,6.0,11.0,0.0,2.0
2011,Italy,6.0,N/A,5.0,1.0,0.0,4.0,70.0,138.0,-68.0,6.0,15.0,0.0,2.0
2012,Wales,1.0,1,5.0,5.0,0.0,0.0,109.0,58.0,51.0,10.0,3.0,0.0,10.0
2012,England,2.0,N/A,5.0,4.0,0.0,1.0,98.0,71.0,27.0,7.0,4.0,0.0,8.0
2012,Ireland,3.0,N/A,5.0,2.0,1.0,2.0,121.0,94.0,27.0,13.0,8.0,0.0,5.0
2012,France,4.0,N/A,5.0,2.0,1.0,2.0,101.0,86.0,15.0,8.0,8.0,0.0,5.0
2012,Italy,5.0,N/A,5.0,1.0,0.0,4.0,53.0,121.0,-68.0,4.0,12.0,0.0,2.0
2012,Scotland,6.0,N/A,5.0,0.0,0.0,5.0,56.0,108.0,-52.0,4.0,11.0,0.0,0.0
2013,Wales,1.0,0,5.0,4.0,0.0,1.0,122.0,66.0,56.0,9.0,3.0,0.0,8.0
2013,England,2.0,N/A,5.0,4.0,0.0,1.0,94.0,78.0,16.0,5.0,6.0,0.0,8.0
2013,Scotland,3.0,N/A,5.0,2.0,0.0,3.0,98.0,107.0,-9.0,7.0,9.0,0.0,4.0
2013,Italy,4.0,N/A,5.0,2.0,0.0,3.0,75.0,111.0,-36.0,5.0,8.0,0.0,4.0
2013,Ireland,5.0,N/A,5.0,1.0,1.0,3.0,72.0,81.0,-9.0,5.0,5.0,0.0,3.0
2013,France,6.0,N/A,5.0,1.0,1.0,3.0,73.0,91.0,-18.0,6.0,6.0,0.0,3.0
2014,Ireland,1.0,0,5.0,4.0,0.0,1.0,132.0,49.0,83.0,16.0,4.0,0.0,8.0
2014,England,2.0,N/A,5.0,4.0,0.0,1.0,138.0,65.0,73.0,14.0,5.0,0.0,8.0
2014,Wales,3.0,N/A,5.0,3.0,0.0,2.0,122.0,79.0,43.0,11.0,6.0,0.0,6.0
2014,France,4.0,N/A,5.0,3.0,0.0,2.0,101.0,100.0,1.0,9.0,10.0,0.0,6.0
2014,Scotland,5.0,N/A,5.0,1.0,0.0,4.0,47.0,138.0,-91.0,4.0,15.0,0.0,2.0
2014,Italy,6.0,N/A,5.0,0.0,0.0,5.0,63.0,172.0,-109.0,7.0,21.0,0.0,0.0
2015,Ireland,1.0,0,5.0,4.0,0.0,1.0,119.0,56.0,63.0,8.0,3.0,0.0,8.0
2015,England,2.0,N/A,5.0,4.0,0.0,1.0,157.0,100.0,57.0,18.0,11.0,0.0,8.0
2015,Wales,3.0,N/A,5.0,4.0,0.0,1.0,146.0,93.0,53.0,13.0,8.0,0.0,8.0
2015,France,4.0,N/A,5.0,2.0,0.0,3.0,103.0,101.0,2.0,9.0,9.0,0.0,4.0
2015,Italy,5.0,N/A,5.0,1.0,0.0,4.0,62.0,182.0,-120.0,8.0,19.0,0.0,2.0
2015,Scotland,6.0,N/A,5.0,0.0,0.0,5.0,73.0,128.0,-55.0,6.0,12.0,0.0,0.0
2016,England,1.0,1,5.0,5.0,0.0,0.0,132.0,70.0,62.0,13.0,4.0,0.0,10.0
